id,created_at,text,user,favorite_count,retweet_count
935661282577002496,2017-11-29 00:06:48,b'This is RECKLESS HASTE and lives are at stake. Stop the #GOPTaxPlan. https://t.co/wvaAgr6Zju',RonWyden,200,121
935661151840604162,2017-11-29 00:06:16,b'Let\xe2\x80\x99s not forget that the #GOPTaxPlan continues to be revised and rewritten behind closed doors. What we see here i\xe2\x80\xa6 https://t.co/0dNLDjh7Hy',RonWyden,971,501
935659708551135235,2017-11-29 00:00:32,b'The #GOPTaxPlan pays for trillions of dollars in handouts to corporations and the powerful specifically by taking m\xe2\x80\xa6 https://t.co/nkkglBsxqs',RonWyden,279,199
935614310713315335,2017-11-28 21:00:09,"b'The #GOPTaxPlan has real consequences on children, families and seniors. I\xe2\x80\x99m speaking out against the Senate bill w\xe2\x80\xa6 https://t.co/yjiPlYDtTk'",RonWyden,565,313
935564563621261312,2017-11-28 17:42:28,b'The #GOPTaxPlan will be devastating for middle class and working Americans. I\xe2\x80\x99m joining Americans speaking out agai\xe2\x80\xa6 https://t.co/uZ87Vv2Hps',RonWyden,222,116
935555020615049216,2017-11-28 17:04:33,b'Our government made a promise to #DREAMers. Congress cannot go back on that promise now. It\xe2\x80\x99s time to pass the #DREAMAct.',RonWyden,432,142
935304329539543040,2017-11-28 00:28:23,b'I spoke with @jaketapper about how the #GOPTaxPlan is designed to collapse the #ACA and hurt those who need afforda\xe2\x80\xa6 https://t.co/n0hwHZA3Gd',RonWyden,1049,650
935298562874896384,2017-11-28 00:05:29,b'I\xe2\x80\x99m fighting the #GOPTaxPlan to give @LittleLobbyists and their families a fair shot! https://t.co/kUkHgZ6f0X',RonWyden,353,123
935270621407268864,2017-11-27 22:14:27,b'I\xe2\x80\x99ll be joining @SenateDems to share what\xe2\x80\x99s at stake under #GOPTaxPlan. Tune in to the Facebook Live at 5:00pm:\xe2\x80\xa6 https://t.co/iigBN7tcV5',RonWyden,93,55
935226340395175937,2017-11-27 19:18:29,b'Dismantling @CFPB goes back to the days when Wall Street bankers\xe2\x80\x99 profits are valued more than Americans\xe2\x80\x99 hard-earn\xe2\x80\xa6 https://t.co/XbOmN6Xue4',RonWyden,554,271
935224826582749184,2017-11-27 19:12:28,"b'If @FCC @AjitPaiFCC repeals #NetNeutrality, #CyberMonday fans are in for a bad deal. It\xe2\x80\x99s time to fight to\xe2\x80\xa6 https://t.co/fHhRCQ8bwH'",RonWyden,857,551
935176003961479169,2017-11-27 15:58:28,b'The #GOPTaxPlan is moving at lightning speed and it\xe2\x80\x99s out to hurt Americans and their families. Here\xe2\x80\x99s what you nee\xe2\x80\xa6 https://t.co/mP0FOuckFc',RonWyden,253,234
934458594438852609,2017-11-25 16:27:44,b'Sign up for #OpenEnrollment NOW through December 15. Don\xe2\x80\x99t miss your change to #GetCovered. https://t.co/dvJ3IJTEjn',RonWyden,239,236
934165805327179776,2017-11-24 21:04:18,"b""The #GOPTaxPlan gives massive handouts to corporations at the expense of millennials and students. I'm standing up\xe2\x80\xa6 https://t.co/CqCKPKW3s0""",RonWyden,916,405
933740763476910083,2017-11-23 16:55:20,b'Wishing all Oregonians a happy Thanksgiving! https://t.co/Vgobzpq6uA',RonWyden,622,71
933091562606682112,2017-11-21 21:55:39,b'Only 24 days left for #OpenEnrollment. #GetCovered on https://t.co/AD8JO5gcqN https://t.co/lSzRZdYYpt',RonWyden,146,138
933059783292325892,2017-11-21 19:49:22,"b'Thanks, @SenBillNelson for having me! https://t.co/SMCaU34Y79'",RonWyden,109,38
933040571865796613,2017-11-21 18:33:02,"b'I stand for policies that preserve the Internet as a platform for learning, speech and commerce and a level-playing\xe2\x80\xa6 https://t.co/WcJWkk1Njp'",RonWyden,569,291
