id,created_at,text,user,favorite_count,retweet_count
935673519320588289,2017-11-29 00:55:25,"b""This is a setback that gives Big Banks, payday lenders, &amp; credit card co's a strong ally @CFPB. Americans deserve a\xe2\x80\xa6 https://t.co/HM8kn5pMkO""",SenCortezMasto,31,12
935669141591257090,2017-11-29 00:38:01,"b"".@TransCanada claimed a #KeyStone oil spill exceeding 50 barrels wouldn't be more than once every seven to 11 years\xe2\x80\xa6 https://t.co/dXKa43zpIo""",SenCortezMasto,20,25
935627923662483457,2017-11-28 21:54:14,"b'Over 500,000 middle class Nevadans will see their taxes go up in 2027 with the #GOPTaxScam - all to give permanent\xe2\x80\xa6 https://t.co/LEDCN0Sq2l'",SenCortezMasto,20,17
935611802288869376,2017-11-28 20:50:11,"b""Here's what the GOP's on the fast-track to do:\n\n-Rip care away from 13 million Americans\n-Raise taxes on the poor &amp;\xe2\x80\xa6 https://t.co/zoeJXFMfCw""",SenCortezMasto,40,35
935591157605822464,2017-11-28 19:28:09,b'HAPPENING NOW IN ELY: @NVHealthLink &amp; my staff are at the White Pine County Chamber to help Nevadans enroll into he\xe2\x80\xa6 https://t.co/rnNeEt2X3F',SenCortezMasto,12,8
935546529426878464,2017-11-28 16:30:48,"b'#DREAMers deserve peace of mind before the end of the year, and especially during the holiday season. RT to urge th\xe2\x80\xa6 https://t.co/claj9OrfA2'",SenCortezMasto,42,31
935541566948638720,2017-11-28 16:11:05,"b'Republicans, if you support #DREAMers, why not bring the #DREAMAct to the floor for an up-or-down vote? \n\nCongress\xe2\x80\xa6 https://t.co/MfsURtVnT5'",SenCortezMasto,178,93
935523007816138752,2017-11-28 14:57:20,"b""Nevada, it's time to #GetCovered! If you're looking for quality, affordable insurance or want to compare plans, now\xe2\x80\xa6 https://t.co/bupiBiJFEs""",SenCortezMasto,13,10
935522439353851909,2017-11-28 14:55:05,"b'Open enrollment is well underway! Watch as I chat with Heather, the ED of @NVHealthLink, how Nevadans can easily\xe2\x80\xa6 https://t.co/EhsFn2wCqR'",SenCortezMasto,12,11
935275663283707905,2017-11-27 22:34:29,b'.@realDonaldTrump must respect the Wall Street Reform law and allow Leandra English to fulfill her obligations to A\xe2\x80\xa6 https://t.co/4RIkuQRY2p',SenCortezMasto,121,56
935229012175138816,2017-11-27 19:29:06,"b'#GOPTaxScam will hurt rural Nevadans, potentially leaving them with no coverage options or facing plans with skyroc\xe2\x80\xa6 https://t.co/VXagAi1qBM'",SenCortezMasto,83,67
935189356360421376,2017-11-27 16:51:32,"b""With the holiday season in full swing, don't forget to take the time to #GetCovered during open enrollment!\n\nIf you\xe2\x80\xa6 https://t.co/ngfBKLbs2Y""",SenCortezMasto,49,45
934430310888099840,2017-11-25 14:35:21,b'Today is #SmallBizSat! Small businesses are the engine to our economy. #ShopSmall today to support the businesses t\xe2\x80\xa6 https://t.co/w2iwmG8LlE',SenCortezMasto,65,32
934123781873913857,2017-11-24 18:17:19,"b""RT @NVHealthLink: Hey millennials: you need health insurance. You can't afford not to have it. #MyHealthNV https://t.co/hyGPNgrCfp https://\xe2\x80\xa6""",SenCortezMasto,0,5
933731065209946112,2017-11-23 16:16:48,"b'Paul and I wish all a very #HappyThanksgiving and peaceful day with family, friends, and loved ones. Grateful to ou\xe2\x80\xa6 https://t.co/BBwW32KwyX'",SenCortezMasto,55,16
933421641819881473,2017-11-22 19:47:16,b'Saddened to learn of this terrible news. Praying for a safe return of the three missing &amp; grateful to the serviceme\xe2\x80\xa6 https://t.co/9q4y0LmVLr',SenCortezMasto,28,7
933418757313253376,2017-11-22 19:35:48,"b'If we want to truly create jobs &amp; grow our economy, one thing we can all agree on is that we ought to be investing\xe2\x80\xa6 https://t.co/59N8aj1E76'",SenCortezMasto,51,17
