id,created_at,text,user,favorite_count,retweet_count
933120034834182145,2017-11-21 23:48:47,"b'I spoke w/@RebeccaPalsha @ch2ktuu on a number of important issues currently before Congress &amp; the nation, including\xe2\x80\xa6 https://t.co/UGSurCjbTR'",SenDanSullivan,5,4
932812100241682432,2017-11-21 03:25:10,"b""I was honored to attend the @SpecialOlymAK Bowling Tournament this weekend w/ my wife Julie &amp; our daughters. It's a\xe2\x80\xa6 https://t.co/VArzOaPA67""",SenDanSullivan,9,5
932803948943114240,2017-11-21 02:52:46,"b'Huge congrats to my former D.C. Intern, Samantha Mack for being named a 2018 Rhodes Scholar. Originally from King C\xe2\x80\xa6 https://t.co/Yi7J8SZNhX'",SenDanSullivan,70,17
931256802515341312,2017-11-16 20:24:58,"b'Not only did I turn another year older this month, so did the United States Marine Corps, celebrating its 242nd bir\xe2\x80\xa6 https://t.co/PSO7hppHJW'",SenDanSullivan,60,12
930953055192875008,2017-11-16 00:17:59,b'Congratulations! Sawyer Marie is lucky to have such great grandparents. https://t.co/33P2TH7gp8',SenDanSullivan,12,3
930848050591010816,2017-11-15 17:20:44,b'Great news for AK and the country &amp; thanks @lisamurkowski for your leadership. https://t.co/riBc9l1Yex',SenDanSullivan,35,21
930835147120889856,2017-11-15 16:29:27,b'Matthew Rexford from Kaktovik only village in ANWR says 2 continue 2 lock up resources in area is like saying \xe2\x80\x9cit\xe2\x80\x99s\xe2\x80\xa6 https://t.co/asjR5HWiyZ',SenDanSullivan,45,24
930812347970670592,2017-11-15 14:58:52,b'RT @EnergyGOP: Watch Live: Business meeting to consider reconciliation language https://t.co/OrS1bGxtv7',SenDanSullivan,0,4
930183854845038596,2017-11-13 21:21:27,b'Thanks for stopping by @SteveDaines! https://t.co/5NPkoZnO65',SenDanSullivan,17,2
929116379126685696,2017-11-10 22:39:41,b'RT @SecretaryZinke: #SemperFi do or die! \xf0\x9f\xa6\x85 \xf0\x9f\x8c\x8e \xe2\x9a\x93\xef\xb8\x8f I love Marines &amp; am proud to have one as my Chief of Staff. Happy birthday @USMC @SenDanSul\xe2\x80\xa6',SenDanSullivan,0,43
928092512316772352,2017-11-08 02:51:12,b'I was honored to meet w/ fellow Marine &amp; former Sec of State James Baker to discuss major foreign policy challenges\xe2\x80\xa6 https://t.co/46tl2WiUBg',SenDanSullivan,21,4
927982918244413441,2017-11-07 19:35:43,b'Had your morning cup of kuukpiaq to go w/ tasty muqpaurat? Kudos to ACC in AK for preserving indigenous languages!  https://t.co/PQY4ueNmT3',SenDanSullivan,16,4
926503254082584577,2017-11-03 17:36:04,"b'RT @EnergyGOP: \xe2\x80\x9cFor those of us who call Alaska home, to suggest that we would despoil our environment for short term gain, I think is offe\xe2\x80\xa6'",SenDanSullivan,0,7
926147176262242304,2017-11-02 18:01:08,"b'Powerful testimony from Matthew Rexford of Kaktovik, only village in #ANWR re opening #1002 4 jobs &amp; hope 4 Kaktovik https://t.co/yB0FJ6DeQX'",SenDanSullivan,26,10
926120005112160256,2017-11-02 16:13:10,"b'Great point by @Sen_JoeManchin: Point Thomson, 2 miles from #1002Area is in same ecosystem &amp; is being developed responsibly. #ANWR'",SenDanSullivan,9,4
926111769516441600,2017-11-02 15:40:26,b'@SenJohnMcCain Opening #1002Area of #ANWR with most stringent enviro standards &amp; most advanced technology in the wo\xe2\x80\xa6 https://t.co/UDhtJKKiAz',SenDanSullivan,3,4
