id,created_at,text,user,favorite_count,retweet_count
935568752145588224,2017-11-28 17:59:07,b'RT if you think the Senate should prioritize health care for children over tax cuts for big corporations and rich A\xe2\x80\xa6 https://t.co/PBKLs94aFX',SenFeinstein,238,320
935551137352167424,2017-11-28 16:49:07,b'How can we help the economy today? Bring the #DreamAct to the Senate Floor and provide a permanent legislative solu\xe2\x80\xa6 https://t.co/Xx4rgva7Y2',SenFeinstein,168,98
935548066081460225,2017-11-28 16:36:55,"b'RT @SenateDems: Every day, more #DREAMers are losing DACA protections &amp; put at risk of deportation. We must #ProtectDREAMers &amp; pass the #DR\xe2\x80\xa6'",SenFeinstein,0,62
935543332050173953,2017-11-28 16:18:06,"b""72% of #Dreamers are pursuing a bachelor's degree or higher. These young people are the future of our country and w\xe2\x80\xa6 https://t.co/K9ScXTg1e9""",SenFeinstein,753,256
935329398256951296,2017-11-28 02:08:00,b'We should expand the child tax credit for working families instead of giving wealthy families more benefits. Famili\xe2\x80\xa6 https://t.co/pPMUOqcdb9',SenFeinstein,4031,1548
935328144138969088,2017-11-28 02:03:01,"b'Many women are primary caregivers in our country, and many struggle to care for children and aging parents. Rather\xe2\x80\xa6 https://t.co/iv7NlMrSAz'",SenFeinstein,958,470
935314801479184384,2017-11-28 01:10:00,"b'The president claims he won\xe2\x80\x99t benefit from the #GOPTaxPlan. If that\xe2\x80\x99s true, he can easily prove it by releasing his\xe2\x80\xa6 https://t.co/fG2pEWbeya'",SenFeinstein,2471,1261
935297940532408325,2017-11-28 00:03:00,b'Economists say the Senate #GOPTaxPlan will increase our debt. I believe Republicans will use that as an excuse to g\xe2\x80\xa6 https://t.co/CXLLwmyidO',SenFeinstein,973,651
935280169035685888,2017-11-27 22:52:23,b'RT @CoveredCA: Thinking about getting health coverage? Learn more about what Covered California can do for you. https://t.co/KXKaY91BCj',SenFeinstein,0,77
935272541610012672,2017-11-27 22:22:05,"b'Happy 25th birthday to the Monterey Bay National Marine Sanctuary! The @MBNMS is the largest U.S. marine sanctuary,\xe2\x80\xa6 https://t.co/zb3C9qtQyJ'",SenFeinstein,341,102
935208234297765891,2017-11-27 18:06:33,b'Ignore the Republican spin\xe2\x80\x94tax cuts for the rich WON\xe2\x80\x99T pay for themselves. #GOPTaxPlan https://t.co/9QyFPNGbX5',SenFeinstein,1003,579
935203040436604929,2017-11-27 17:45:54,"b'Nonpartisan Congressional Budget Office says most Americans earning less than $75,000 would be WORSE OFF by 2027 un\xe2\x80\xa6 https://t.co/RRvjlBdUKo'",SenFeinstein,1209,1090
934946878772219904,2017-11-27 00:48:01,"b'Under the Senate #GOPTaxPlan, taxes would eventually go up for more than 1/3rd of middle and working class families\xe2\x80\xa6 https://t.co/yMMqR6bscw'",SenFeinstein,628,504
934869115679989760,2017-11-26 19:39:00,b'It\xe2\x80\x99s pretty clear who is a priority in the Senate Republicans tax bill. #GOPTaxPlan',SenFeinstein,1982,623
934475520854466562,2017-11-25 17:35:00,"b'Today is Small Business Saturday, a great chance to support your local business and shops. https://t.co/jRhMXfIPzE'",SenFeinstein,292,108
934199199813586944,2017-11-24 23:17:00,"b'To give corporations a permanent tax cut, the Senate #GOPTaxPlan adds $1.5 trillion to our deficit, raises taxes on\xe2\x80\xa6 https://t.co/7mXuN2yjjC'",SenFeinstein,2209,1950
934153146741526528,2017-11-24 20:14:00,"b'It\xe2\x80\x99s open enrollment season: If you need quality, affordable health insurance, visit https://t.co/aXIlXoF6UJ. Sign\xe2\x80\xa6 https://t.co/2GVvSkgxab'",SenFeinstein,667,467
934113384466804736,2017-11-24 17:36:00,"b'The Senate #GOPTaxPlan is simple: Corporations get a huge tax cut, middle-class Americans get a tax increase and mi\xe2\x80\xa6 https://t.co/pe47aB1bjY'",SenFeinstein,743,667
933569047840489472,2017-11-23 05:33:00,b'Wishing you and your family a happy and blessed Thanksgiving. https://t.co/CqXXZoFRzE',SenFeinstein,1187,183
933493299196846081,2017-11-23 00:32:00,b'The #GOPTaxPlan adds $1.5 trillion to our deficit but the real cost could be even more. Americans can\xe2\x80\x99t afford this\xe2\x80\xa6 https://t.co/Zt5Fz6Lmxn',SenFeinstein,1103,699
933449511996817408,2017-11-22 21:38:00,"b'This is absurd! If you make less than $75,000 per year, your taxes could go up under the Senate #GOPTaxPlan. Meanwh\xe2\x80\xa6 https://t.co/n1CzgR5nqK'",SenFeinstein,1527,1312
933430387870720000,2017-11-22 20:22:01,"b'Don\xe2\x80\x99t let the Republicans fool you, the #GOPTaxPlan is bad for the middle-class. https://t.co/nnUitXsUnL'",SenFeinstein,1271,619
933382452063727616,2017-11-22 17:11:32,"b'Justice for Larry Nassar\xe2\x80\x99s victims can\xe2\x80\x99t come soon enough. I\xe2\x80\x99m heartbroken for these young women, but because of th\xe2\x80\xa6 https://t.co/5Peg6eGoeA'",SenFeinstein,659,272
933156580996005888,2017-11-22 02:14:00,b'Women make up 53% of DACA recipients. Failure to pass the Dream Act by the year\xe2\x80\x99s end puts their future and the fut\xe2\x80\xa6 https://t.co/ARIg3qScWh',SenFeinstein,950,495
933123109594341376,2017-11-22 00:01:00,b'It\xe2\x80\x99s been 52 days since funding for community health centers expired. They are the largest source of primary care\xe2\x80\x93s\xe2\x80\xa6 https://t.co/rGuLCh7oVP',SenFeinstein,3904,2043
933088372045877248,2017-11-21 21:42:58,b'I joined Democratic women senators in urging Senator McConnell to bring the Dream Act to the floor as soon as possi\xe2\x80\xa6 https://t.co/IodvphTc9O',SenFeinstein,944,301
932988826145968129,2017-11-21 15:07:24,"b'We should support efforts to save elephants, not undermine them.\n\nToday I called on the Trump administration to uph\xe2\x80\xa6 https://t.co/LURJQErzcs'",SenFeinstein,1878,670
932763741132808192,2017-11-21 00:13:00,b'Curious who will pay to give a permanent tax cut to big corporations?\n \nAccording to the Tax Policy Center: Half of\xe2\x80\xa6 https://t.co/J8KCyJqSIr',SenFeinstein,2672,1635
932732312437121031,2017-11-20 22:08:07,"b'Last month, I called on the US Trade Representative to address the problem. Environmental concerns along the border\xe2\x80\xa6 https://t.co/rfj0vkaUSg'",SenFeinstein,121,54
932732111194415104,2017-11-20 22:07:19,b'Great op-ed on the need to include Tijuana river pollution as part of the NAFTA renegotiation. https://t.co/lYFX0hN0px',SenFeinstein,137,64
932716284357304321,2017-11-20 21:04:25,b'The #KeystoneXL pipeline remains a bad deal for our country. It\xe2\x80\x99s an unnecessary pipeline for a company that just s\xe2\x80\xa6 https://t.co/eplm7CLhow',SenFeinstein,1379,619
932682880337301505,2017-11-20 18:51:41,b'The #GOPTaxPlan raises taxes on the middle-class to give big corporations a permanent tax cut. Read this important\xe2\x80\xa6 https://t.co/Y0cEJScPr4',SenFeinstein,548,383
932389275852853248,2017-11-19 23:25:00,"b""The Senate shouldn't move forward on the nomination of Brett Talley if he fails to answer questions about potential\xe2\x80\xa6 https://t.co/QzagSSgurV""",SenFeinstein,1708,765
932356559388033025,2017-11-19 21:15:00,"b""Republicans just eliminated a 100-year-old Senate policy to jam President Trump's right-wing judicial nominees thro\xe2\x80\xa6 https://t.co/fhEWMINfSc""",SenFeinstein,9487,8594
932338944527568897,2017-11-19 20:05:01,"b'To cut taxes for the richest individuals and corporations, the Republican tax bill would increase taxes for graduat\xe2\x80\xa6 https://t.co/JsSGrHNez5'",SenFeinstein,1781,1569
932315036655251456,2017-11-19 18:30:00,b'Media reports indicate that Tom Farr was not truthful in his response to my question about his involvement in voter\xe2\x80\xa6 https://t.co/XYCmOV12A3',SenFeinstein,4001,2834
932290237702828033,2017-11-19 16:51:28,b'My bill with Senator @ChrisVanHollen and @SenatorCardin would provide a path to citizenship for those with Temporar\xe2\x80\xa6 https://t.co/qF65uka375',SenFeinstein,1500,512
932025624939524096,2017-11-18 23:19:59,"b""In light of Brett Talley\xe2\x80\x99s failure to disclose potential conflicts of interest and online political commentary, I'm\xe2\x80\xa6 https://t.co/9J0yidoUov""",SenFeinstein,2403,960
931982848046673920,2017-11-18 20:30:01,"b""Read @Refinery29's story about our bill to ensure the safety of personal care products and @BeautycounterHQ's endor\xe2\x80\xa6 https://t.co/qeKYj04vFv""",SenFeinstein,135,47
931956674138705920,2017-11-18 18:46:00,"b'Democrats want tax reform that helps all Americans get ahead. Instead, the Republican plan leaves the middle class\xe2\x80\xa6 https://t.co/F3ZXcNy4KZ'",SenFeinstein,784,540
931943558147399681,2017-11-18 17:53:53,b'Judiciary Committee Democrats denounce the decision to give President Trump even MORE power on judicial nominations\xe2\x80\xa6 https://t.co/uPLwJEyNa4',SenFeinstein,1773,1132
931922453634469889,2017-11-18 16:30:01,"b'Important @washingtonPost story on the epidemic of sexual abuse in athletics. Our bill, passed by the Senate this w\xe2\x80\xa6 https://t.co/wYp1LAkNgM'",SenFeinstein,589,219
931718101867012097,2017-11-18 02:58:00,b'I agree! California can\xe2\x80\x99t afford the #GOPTaxPlan. https://t.co/G28unUK3VO',SenFeinstein,2004,1086
931704511806271488,2017-11-18 02:04:00,"b'Not only is there inadequate funding for Puerto Rico, the Virgin Islands, Texas and Florida hurricane relief, but C\xe2\x80\xa6 https://t.co/SmFgerXJAe'",SenFeinstein,4271,2900
931693439753867265,2017-11-18 01:20:00,b'It\xe2\x80\x99s disgusting the White House is even considering lifting the trophy ban. I\xe2\x80\x99ll fight this or any attempt to weake\xe2\x80\xa6 https://t.co/AS8q8KJmNF',SenFeinstein,9092,3020
931666136705486848,2017-11-17 23:31:31,b'Join me in telling them: Keep California\xe2\x80\x99s parks open and accessible to all! https://t.co/1MIlEFxbLf',SenFeinstein,608,198
931665807179907078,2017-11-17 23:30:12,"b'I\xe2\x80\x99ve called on the Trump administration to not raise visitor fees at Yosemite, Joshua Tree, and Sequoia and Kings C\xe2\x80\xa6 https://t.co/cvjWKCxrSd'",SenFeinstein,1265,456
931650509076910080,2017-11-17 22:29:25,b'The White House\xe2\x80\x99s request for disaster assistance did NOT include aid for California wildfire victims. That\xe2\x80\x99s appal\xe2\x80\xa6 https://t.co/beRxB7rlM9',SenFeinstein,2338,1626
931551919646093313,2017-11-17 15:57:39,"b'This says it all: ""The congressional Joint Committee on Taxation said on Thursday that the latest version of the Se\xe2\x80\xa6 https://t.co/eWgVd1C1XX'",SenFeinstein,1242,1170
931543953337446400,2017-11-17 15:26:00,"b'In 2015 and 2016 ALONE, Republicans used the #blueslip to block these nine Obama nominees:\n\nRebecca Haywood\nLisabet\xe2\x80\xa6 https://t.co/ldSbGNFtEZ'",SenFeinstein,2169,1556
931319474845814785,2017-11-17 00:34:00,b'The Republican tax cut bill was written to help the rich at the expense of the middle class. That\xe2\x80\x99s the bottom line. https://t.co/aBhxhSmc6n',SenFeinstein,1163,631
931295598849933312,2017-11-16 22:59:08,b'The lengths to which Republicans are going to jam extremely conservative and controversial nominees through the Sen\xe2\x80\xa6 https://t.co/lVThDe3cZy',SenFeinstein,3975,2497
931293240996909056,2017-11-16 22:49:45,b'Republicans shouldn\xe2\x80\x99t have one blue slip policy for Democratic presidents and another for Republican presidents. In\xe2\x80\xa6 https://t.co/pZQiQWFo9G',SenFeinstein,7447,4374
