id,created_at,text,user,favorite_count,retweet_count
931305906549248008,2017-11-16 23:40:05,"b""I want to apologize to Leeann Tweeden, to everyone who was part of the USO tour, to all who've worked for me, to al\xe2\x80\xa6 https://t.co/Q1SI0OlXZo""",SenFranken,44692,8492
931002322997608448,2017-11-16 03:33:45,b'My face when I hear Washington Post reporter @_cingraham thinks Minnesota and Wisconsin are indistinguishable. https://t.co/ZR3EO81YsU',SenFranken,11434,1865
930996641431216128,2017-11-16 03:11:11,b'@_cingraham .@_cingraham https://t.co/0hNn5m2EOy',SenFranken,1946,210
930897687028912128,2017-11-15 20:37:58,"b'At the @CFPB, Rich Cordray has worked tirelessly on behalf of working families in Minnesota and across the country\xe2\x80\xa6 https://t.co/X9TJ3x30JS'",SenFranken,931,275
930896094795567104,2017-11-15 20:31:38,"b""At end of fiscal year '16, oil &amp; gas companies were producing on less than 2% of the 1 million+ acres of federal la\xe2\x80\xa6 https://t.co/3YEPUI6Cll""",SenFranken,3942,1696
930872548585287681,2017-11-15 18:58:05,"b'Minnesota cabin owners\xe2\x80\x94and all home, business and farm owners in cabin country\xe2\x80\x94would be hit particularly hard by th\xe2\x80\xa6 https://t.co/ndPkMJn795'",SenFranken,682,274
930872283857596417,2017-11-15 18:57:01,"b'Beyond that, cabin ownership is incredibly important to the health of our rural economies and to small businesses t\xe2\x80\xa6 https://t.co/GfTDT1xTht'",SenFranken,457,74
930872221094109186,2017-11-15 18:56:46,"b'In Minnesota, heading up to a cabin on the weekend isn\xe2\x80\x99t just another thing to do\xe2\x80\x94it\xe2\x80\x99s a way of life. Cabins mean a\xe2\x80\xa6 https://t.co/kNtIT1kzKT'",SenFranken,1313,178
930860014578913281,2017-11-15 18:08:16,"b'We need to make sure all Minnesotans\xe2\x80\x94including those in tribal communities\xe2\x80\x94have access to reliable, affordable broa\xe2\x80\xa6 https://t.co/5q8fSuC9Rq'",SenFranken,560,147
930859472863588352,2017-11-15 18:06:07,"b'What a comeback year for the @Twins and for their manager, St. Paul\xe2\x80\x99s own Paul Molitor. Congrats, Paul, on being na\xe2\x80\xa6 https://t.co/EwxjwUvY2o'",SenFranken,275,26
930556511746740224,2017-11-14 22:02:15,"b'RED ALERT: Senate GOP just added provision to their tax plan that would gut ACA &amp; kick 13M ppl off insurance. Yes,\xe2\x80\xa6 https://t.co/Aw8qNvmFE0'",SenFranken,81880,65466
930543488046915585,2017-11-14 21:10:30,"b'@BetsyDeVosED If you want to learn more about this disturbing trend, I urge you to check out this report from my co\xe2\x80\xa6 https://t.co/NQkhC3Jkoi'",SenFranken,498,243
930543110131773440,2017-11-14 21:09:00,"b'As a member of Senate Education Committee, I find this inaction by the Trump Administration and its Education Depar\xe2\x80\xa6 https://t.co/F2oMwTqPNB'",SenFranken,903,347
930542859887005696,2017-11-14 21:08:01,b'That means they are students and graduates all around the country who were swindled by for-profit colleges and can\xe2\x80\x99\xe2\x80\xa6 https://t.co/dNT64f20hj',SenFranken,441,157
930542689694765056,2017-11-14 21:07:20,"b'Here\xe2\x80\x99s a staggering statistic: since July, the number of Americans who claim they\xe2\x80\x99ve been defrauded by their school\xe2\x80\xa6 https://t.co/h2K63TyBjU'",SenFranken,370,195
930542613693960192,2017-11-14 21:07:02,"b'Under the Trump Administration, for-profit predatory colleges\xe2\x80\x94like many that you constantly see ads for on TV\xe2\x80\x94have\xe2\x80\xa6 https://t.co/mH2bclayvt'",SenFranken,1723,719
930539763903459329,2017-11-14 20:55:42,"b""This cruel, inhuman treatment amounts to torture. I believe that one of the primary authors of the Bush Admin's tor\xe2\x80\xa6 https://t.co/t9ggC7k3X1""",SenFranken,734,196
930539695003590657,2017-11-14 20:55:26,b'Bradbury authored several memos that authorized the use of \xe2\x80\x9cenhanced interrogation techniques\xe2\x80\x9d during admin of Pres\xe2\x80\xa6 https://t.co/XOX0wINjGR',SenFranken,517,145
