id,created_at,text,user,favorite_count,retweet_count
935263185724166149,2017-11-27 21:44:54,"b""RT @AftertheBell: GOP @SenJohnKennedy coming up on @AftertheBell @FoxBusiness talking taxes! Make sure you're tuned in!""",SenJohnKennedy,0,4
935263117524815872,2017-11-27 21:44:38,b'Tune in now to @FoxBusiness @AftertheBell to hear me discuss the latest on the Senate #TaxReform bill.',SenJohnKennedy,3,3
934904422790041600,2017-11-26 21:59:18,b'Let\xe2\x80\x99s go @Saints! #WhoDat',SenJohnKennedy,13,4
934477216938954752,2017-11-25 17:41:44,"b'#SmallBizSat is Nov 25! When we #ShopSmall, we support the small businesses that unite our communities. https://t.co/yYU9AYCdMm'",SenJohnKennedy,15,7
933793125822279680,2017-11-23 20:23:24,b'I would like to give special thanks to the men and women in uniform serving in the United States and overseas.\xe2\x80\xa6 https://t.co/omKwL3vggl',SenJohnKennedy,29,8
933792944712282112,2017-11-23 20:22:41,"b'Thanksgiving is about counting your blessings.  We have a great deal to be thankful for in America, and I hope ever\xe2\x80\xa6 https://t.co/Sc4Xh2QS4h'",SenJohnKennedy,32,3
933415685987946501,2017-11-22 19:23:36,b'This week Id like to honor the men &amp; women who have been called to wear our nation\xe2\x80\x99s uniform. Tech. Sgt. Bianca Par\xe2\x80\xa6 https://t.co/b89OVWrzY6',SenJohnKennedy,16,3
931203136651513857,2017-11-16 16:51:43,b'RT @SenateGOP: \xe2\x80\x9cThis tax cut package is going to give small business people and individual Americans more freedom.\xe2\x80\x9d \xe2\x80\x93 @SenJohnKennedy https\xe2\x80\xa6',SenJohnKennedy,0,32
931161811272990720,2017-11-16 14:07:30,b'I would like to congratulate my colleague @BillCassidy on protecting and increasing #GOMESA funding for Louisiana. https://t.co/tNglefMKaM',SenJohnKennedy,25,6
930942351631110144,2017-11-15 23:35:27,b'RT @SenateGOP: Why is #TaxReform important to small businesses? We ask @SenJohnKennedy. https://t.co/ocO71Y8lop',SenJohnKennedy,0,19
930937473475194880,2017-11-15 23:16:04,"b""I think we have to vote on #TaxReform next week. We're trying to strike a balance between cutting taxes, while at t\xe2\x80\xa6 https://t.co/RGmcIZrkRV""",SenJohnKennedy,16,8
930931927418331136,2017-11-15 22:54:02,"b'RT @MeetThePress: .@SenJohnKennedy: ""What we\'re trying to do is strike a balance between cutting taxes...while at the same time remaining m\xe2\x80\xa6'",SenJohnKennedy,0,7
930931868026982401,2017-11-15 22:53:47,"b'RT @MeetThePress: .@SenJohnKennedy on health care vote: ""If it were up to me, Chuck, I wouldn\'t go home for Thanksgiving. I think we have t\xe2\x80\xa6'",SenJohnKennedy,0,13
930922986865070081,2017-11-15 22:18:30,b'On @MSNBC\xe2\x80\x99s @MeetThePress now talking about the #TaxReformBill. We need to build our economy by empowering our midd\xe2\x80\xa6 https://t.co/tJfzVbmxbQ',SenJohnKennedy,20,5
930917079955464192,2017-11-15 21:55:02,"b'RT @MeetThePress: Joining #MTPDaily today are: @SenJohnKennedy, @SenatorCollins and @CollinsWilmot. Tune in at 5pmET on @MSNBC!'",SenJohnKennedy,0,3
930901864010444801,2017-11-15 20:54:34,"b'Congratulations, @SenThomTillis! https://t.co/3Rk03VYHaM'",SenJohnKennedy,11,2
930901369321590786,2017-11-15 20:52:36,b'It\xe2\x80\x99s high time that we offer middle-class Americans a tax code that believes in them. We need a tax reform policy t\xe2\x80\xa6 https://t.co/XkaFuFcbFI',SenJohnKennedy,68,26
