id,created_at,text,user,favorite_count,retweet_count
935558760269008896,2017-11-28 17:19:24,b'I\xe2\x80\x99m joining @SenSanders to introduce this legislation to help Puerto Rico. Our fellow Americans are facing a humani\xe2\x80\xa6 https://t.co/mNIc0X8WHp',SenKamalaHarris,1029,310
935541975914352641,2017-11-28 16:12:43,"b'Perpetrators of exploitation who seek to humiliate and shame their victims must be held accountable. Today, I\xe2\x80\x99m int\xe2\x80\xa6 https://t.co/vQoMrP26bQ'",SenKamalaHarris,725,228
935296179289632768,2017-11-27 23:56:00,b'Republicans have said their plan is a \xe2\x80\x9ctax cut for everyone.\xe2\x80\x9d It\xe2\x80\x99s not. https://t.co/kRL2SeF0RK',SenKamalaHarris,735,514
935280073447542785,2017-11-27 22:52:00,"b'By 2019, Americans earning less than $30,000 a year will be worse off under the Senate GOP tax bill\xe2\x80\xa6 but corporatio\xe2\x80\xa6 https://t.co/He97J2PqV0'",SenKamalaHarris,2662,1969
935265633780092929,2017-11-27 21:54:38,b'\xe2\x80\x9cSessions is methodically reshaping the Justice Department to reflect his nationalist ideology and hardline views.\xe2\x80\x9d\xe2\x80\xa6 https://t.co/FAvwDkXQuD',SenKamalaHarris,1030,686
935249229341175808,2017-11-27 20:49:27,"b'@CFPB Mick Mulvaney, the man Trump is sending in to lead the @CFPB, has called it a \xe2\x80\x9cjoke.\xe2\x80\x9d He\xe2\x80\x99s flat-out wrong. Th\xe2\x80\xa6 https://t.co/5fki0BRqDr'",SenKamalaHarris,448,168
935249084318978051,2017-11-27 20:48:52,"b'If we want to fight predatory behavior in the future, we need to maintain a strong @CFPB.'",SenKamalaHarris,398,102
935248922309742592,2017-11-27 20:48:13,"b'When I was CA\xe2\x80\x99s Attorney General, we had to fight tooth and nail to get relief for struggling families who were put\xe2\x80\xa6 https://t.co/6hSBfjf3Pp'",SenKamalaHarris,259,103
935248701601275905,2017-11-27 20:47:21,b'The Consumer Financial Protection Bureau is a watchdog agency with the core mission to defend American consumers fr\xe2\x80\xa6 https://t.co/l1FO7N0cTQ',SenKamalaHarris,6697,2630
933481724507455489,2017-11-22 23:46:01,"b""Guess what I'm getting ready to cook. #HappyThanksgiving https://t.co/cVfIV7J7LA""",SenKamalaHarris,1872,188
933463679244361728,2017-11-22 22:34:18,b'This man actually wrote a book titled \xe2\x80\x9cRedistricting and Representation: Why Competitive Elections Are Bad for Amer\xe2\x80\xa6 https://t.co/5T5LbmXJGK',SenKamalaHarris,1047,779
933446618023628802,2017-11-22 21:26:30,b'Ajit Pai is suggesting we should just trust the cable companies to do the right thing\xe2\x80\xa6 These are the same companies\xe2\x80\xa6 https://t.co/46GLQ7MAIl',SenKamalaHarris,11956,6088
933395761626275840,2017-11-22 18:04:25,b'\xe2\x80\x9cPresident Trump\xe2\x80\x99s \xe2\x80\x98appalling\xe2\x80\x99 disregard for local fire victims\xe2\x80\x9d https://t.co/I2CSpNHwRL',SenKamalaHarris,486,261
933073755395559424,2017-11-21 20:44:53,"b""Here's the bottom line: the tax bill Senate Republicans are championing would give large tax cuts to the top 1% of\xe2\x80\xa6 https://t.co/WtPNsJKlVc""",SenKamalaHarris,2062,1062
933042211473805312,2017-11-21 18:39:32,"b""RT @GeorgetownLaw: In multiple U.S jurisdictions, #moneybail systems trap low-level offenders who can't afford their freedom while awaiting\xe2\x80\xa6""",SenKamalaHarris,0,41
933026923667689474,2017-11-21 17:38:48,"b'I voted against Ajit Pai for this very reason. If the FCC adopts this proposal, it will imperil the engine of Calif\xe2\x80\xa6 https://t.co/Iaye8ODpR7'",SenKamalaHarris,12023,6608
933020527454810112,2017-11-21 17:13:23,b'RT @SenSchumer: Bring this chart to Thanksgiving dinner. It\xe2\x80\x99ll come in handy when that family member who always talks politics tells you th\xe2\x80\xa6',SenKamalaHarris,0,4924
932706622555742208,2017-11-20 20:26:02,"b'Yes, you can still enroll in Obamacare. In most states, the deadline to enroll is December 15. Visit\xe2\x80\xa6 https://t.co/lbuqlcNwc7'",SenKamalaHarris,3431,3023
932633573902966784,2017-11-20 15:35:46,b'Happy 75th Birthday to @JoeBiden! https://t.co/fBRda0ri2f',SenKamalaHarris,7016,1036
931929698568949761,2017-11-18 16:58:49,"b'\xe2\x80\x9cFeinstein, Harris request fee waivers for fire victims replacing immigration, citizenship documents\xe2\x80\x9d https://t.co/S6Php67AtA'",SenKamalaHarris,1233,412
931593803491921920,2017-11-17 18:44:05,b'#FlashbackFriday to the last time we beat back Republican attempts destroy the Affordable Care Act. It\xe2\x80\x99s happening\xe2\x80\xa6 https://t.co/i6vvaSqT4b',SenKamalaHarris,730,385
931589660635213825,2017-11-17 18:27:37,"b'.@RevJJackson will take on this fight with determination and grace, just as he has so many others. He and his famil\xe2\x80\xa6 https://t.co/J9Eaun5EJm'",SenKamalaHarris,379,94
931581693626146816,2017-11-17 17:55:58,"b""My colleague @SenSherrodBrown is right, if we want to cut taxes for the middle class we should do that, but that's\xe2\x80\xa6 https://t.co/dt8RDo2aJD""",SenKamalaHarris,2560,1281
931552358756167680,2017-11-17 15:59:24,b'Retweet if you would *not* benefit from a private jet tax break. https://t.co/jxAWezkbq8',SenKamalaHarris,34948,67759
931263731308384260,2017-11-16 20:52:30,"b'4. It taxes you on mortgage interest (you lose the mortgage interest deduction)\n5. It caps property taxes, increasi\xe2\x80\xa6 https://t.co/5mOULxaCMS'",SenKamalaHarris,940,658
931263164443963392,2017-11-16 20:50:15,b'Just a few reasons why the House GOP tax bill is bad for Californians:\n \n1. It double taxes you on your state and l\xe2\x80\xa6 https://t.co/CKYtYvFFl1',SenKamalaHarris,8292,5324
931247867985047552,2017-11-16 19:49:28,"b'RT @cathleendecker: .@SenKamalaHarris re Franken: ""Sexual harassment and misconduct should not be allowed by anyone and it should not occur\xe2\x80\xa6'",SenKamalaHarris,0,97
931219737253736448,2017-11-16 17:57:41,b'We know what this Republican tax plan really is - a device to give tax cuts to the 1% while raising taxes on many m\xe2\x80\xa6 https://t.co/Wr364Etbem',SenKamalaHarris,4029,2081
930950648207675393,2017-11-16 00:08:25,"b'The House GOP tax proposal puts a huge burden on Californians, who face the largest net tax increase ($12.1 billion\xe2\x80\xa6 https://t.co/aRzAitxFiv'",SenKamalaHarris,1642,1353
930601242774077440,2017-11-15 01:00:00,"b'This is a victory for equality. As always, proud to be a Californian. https://t.co/5aAdvKYshH'",SenKamalaHarris,2154,655
930585136994967552,2017-11-14 23:56:00,"b'Trump\xe2\x80\x99s nominee to the Federal District Court in Montgomery, Alabama, has never tried a case. Seriously. https://t.co/mlgeZv3x7S'",SenKamalaHarris,1930,1327
