id,created_at,text,user,favorite_count,retweet_count
933680552426663937,2017-11-23 12:56:05,b'Today we give thanks that our country was based on the premise of religious liberty. Happy Thanksgiving. https://t.co/x3aEaFDWvR',SenSasse,1046,295
932324708850262016,2017-11-19 19:08:27,"b'#OnThisDay in 1863, President Lincoln spoke timeless truths on a Civil War battlefield to unite a tired &amp; divided n\xe2\x80\xa6 https://t.co/M8n3ojJKcM'",SenSasse,339,130
931963765918183424,2017-11-18 19:14:11,b'\xe2\x80\x9cThe Day of Two Noons\xe2\x80\x9d happened #OnThisDay in 1883 \xe2\x80\x93 and it\xe2\x80\x99s an incredible lesson in how businesses can drive nati\xe2\x80\xa6 https://t.co/1rX8soyCRx',SenSasse,98,39
931310187989950464,2017-11-16 23:57:06,"b""The ABA isn't a neutral vetter of judges but a liberal organization that has publicly &amp; consistently advocated for\xe2\x80\xa6 https://t.co/z8Y2wktbA4""",SenSasse,1643,620
929860257542758400,2017-11-12 23:55:36,b'One way our office can serve veterans: helping them receive the service medals they have earned. Colin\xe2\x80\x99s story:\xe2\x80\xa6 https://t.co/IjJNpX4VJO',SenSasse,127,21
929359644530806784,2017-11-11 14:46:20,"b'We owe our veterans an enduring debt of gratitude, today and every day. #VeteransDay https://t.co/UXfHtKc2ds'",SenSasse,395,110
929014694110810113,2017-11-10 15:55:37,b'Their stories help us understand the cost of freedom. Meet the #veterans of the NE Wounded Warriors Writing Worksho\xe2\x80\xa6 https://t.co/20sjRPfscw',SenSasse,115,27
928391424730652673,2017-11-08 22:38:58,"b'Whether it\xe2\x80\x99s helping our neighbors after a natural disaster or defending American interests, Nebraskans know that w\xe2\x80\xa6 https://t.co/b6x1xa9xiH'",SenSasse,174,32
926228444999847937,2017-11-02 23:24:04,"b'The ABA purports to be a neutral arbiter, but is frankly twisting its ratings process to drive a political agenda.\xe2\x80\xa6 https://t.co/4UNWUmQSb2'",SenSasse,233,89
923916535466520578,2017-10-27 14:17:22,"b'#OnThisDay 53 years ago, Reagan gave his famous \xe2\x80\x9cA Time for Choosing\xe2\x80\x9d speech. It still has much to say to us today. https://t.co/4DaIpLUfUO'",SenSasse,3531,1863
920740612185444353,2017-10-18 19:57:23,"b'Now that we\xe2\x80\x99ve got your attention with Dr Pepper, let\xe2\x80\x99s not forget the real substance from today\xe2\x80\x99s hearing. https://t.co/rvSmohvnnh'",SenSasse,957,265
920439543349874690,2017-10-18 00:01:02,"b'Nebraskans have no patience for improper treatment of our veterans, nor for attempts to cover it up. https://t.co/Zkt8ZjtqqC'",SenSasse,239,56
920341843119927296,2017-10-17 17:32:49,"b'We celebrate the fall of ISIS in Raqqa &amp; the liberation of the oppressed, but this is no time to let off of the gas\xe2\x80\xa6 https://t.co/u0JeEYxiWn'",SenSasse,173,44
915997909656768512,2017-10-05 17:51:34,b'Russia is a clear adversary in cyberspace and we can\xe2\x80\x99t afford these self-inflicted injuries. https://t.co/tKA0uQyeig https://t.co/82VCTw9vmu',SenSasse,2233,1081
915715917207629824,2017-10-04 23:11:02,"b'So, post-hack, Equifax gets $$$ in a no-bid IRS contract &amp; potentially profits selling ID protection to hack victim\xe2\x80\xa6 https://t.co/bzjT2lZUGC'",SenSasse,2498,1097
913923872608608257,2017-09-30 00:30:05,"b'The Gilmores didn\xe2\x80\x99t plan to adopt. But when the opportunity found them, they jumped in: https://t.co/pV5A80JWCP\xe2\x80\xa6 https://t.co/DD7KfdRO8L'",SenSasse,165,24
910927707810213888,2017-09-21 18:04:24,b'We are an economic &amp; military superpower &amp; trade is an effective weapon. Full statement on new North Korea sanction\xe2\x80\xa6 https://t.co/LwBDkIFWNS',SenSasse,198,76
910206370984718342,2017-09-19 18:18:04,b'ISIS has lost ground in #Syria but we need a strategy to make sure that we don\xe2\x80\x99t let off the gas.\xe2\x80\xa6 https://t.co/k4feRbzdqu',SenSasse,74,21
909924097144041472,2017-09-18 23:36:24,b'Encouraged this year\xe2\x80\x99s #NDAA includes these modest steps toward a serious cyber doctrine &amp; an agile talent pipeline. https://t.co/6m10q5Qwfw',SenSasse,73,23
909571945452023809,2017-09-18 00:17:05,"b""In our constitutional system, the government is limited &amp; the people's rights are limitless. Happy #ConstitutionDay! https://t.co/ElVrmuv9EL""",SenSasse,533,173
907280283866685445,2017-09-11 16:30:50,b'#NeverForget https://t.co/icW1AZTSRd',SenSasse,215,43
905819961783984128,2017-09-07 15:48:02,"b""We should fund emergency hurricane relief. We shouldn't spend other $ pretending it's emergency hurricane relief.\xe2\x80\xa6 https://t.co/JdpDbrWmbV""",SenSasse,1275,499
905500235148996608,2017-09-06 18:37:34,b'The Pelosi-Schumer-Trump deal is bad.',SenSasse,2865,1039
903991418753921029,2017-09-02 14:42:04,b'What makes Husker football great? The same things that make Nebraska great. #GameDay #GBR #Huskers\xe2\x80\xa6 https://t.co/RMGzHpfqpN',SenSasse,157,52
903050983697072130,2017-08-31 00:25:07,b'We need to have a \xe2\x80\x9cone cheer for politics\xe2\x80\x9d view of the world. Here\xe2\x80\x99s what I mean by that: https://t.co/3m41YlisqR',SenSasse,330,133
902185752108433408,2017-08-28 15:06:59,"b'Why the #MarchOnWashington, held #OnThisDay in 1963, remains one of the greatest triumphs of the First Amendment:\xe2\x80\xa6 https://t.co/4MI3Vi9e2F'",SenSasse,611,212
900741795591618560,2017-08-24 15:29:13,b'#OnThisDay in 1814 the British torched DC\xe2\x80\x94but 2 patriots saved vital American artifacts from destruction. The story\xe2\x80\xa6 https://t.co/kjyLmCkWZM',SenSasse,220,74
900139799360675841,2017-08-22 23:37:06,"b""Eclipses are time capsules. Yesterday's #SolarEclipse2017 highlighted the incredible economic disruption &amp; innovati\xe2\x80\xa6 https://t.co/X3DDms7bme""",SenSasse,146,54
899407974522798080,2017-08-20 23:09:05,"b'As thousands gather @HomesteadNM &amp; across Nebraska to watch tomorrow\xe2\x80\x99s historic eclipse, a quick reminder to keep t\xe2\x80\xa6 https://t.co/i1r4pDqSVs'",SenSasse,312,92
896010181146017792,2017-08-11 14:07:28,"b""#OnThisDay in 1889, Americans raised $100,000 for the pedestal of the Statue of Liberty. Here's what that great sto\xe2\x80\xa6 https://t.co/hgXaDYnOpM""",SenSasse,1296,590
890648553772773377,2017-07-27 19:02:17,b'A word of humble advice to our President: if you\xe2\x80\x99re thinking of making a recess appointment to push out the Atty Ge\xe2\x80\xa6 https://t.co/TFgoa5pIUR',SenSasse,5464,1862
890306611687895040,2017-07-26 20:23:31,"b'We still have a long, long way to go \xe2\x80\x93 both in health policy and in honesty. Full statement: https://t.co/FwXE0lHgI3 https://t.co/Wyvt4GAySv'",SenSasse,370,155
884841186502086656,2017-07-11 18:25:53,b'Statement on August State Work Period Delay: https://t.co/cJnqhtxJTK https://t.co/oLxXQKjzWs',SenSasse,293,93
882209139404951553,2017-07-04 12:07:04,b'Happy Independence Day to the most exceptional nation in the history of the world. https://t.co/vr9Reb8P2C',SenSasse,2125,877
876247114799431680,2017-06-18 01:16:06,"b""Real fatherhood isn't anything like a greeting card. We all screw up. Here's to all the dads out there who show up\xe2\x80\xa6 https://t.co/GLHYPkmdyv""",SenSasse,4395,1427
