id,created_at,text,user,favorite_count,retweet_count
935710340595240960,2017-11-29 03:21:44,b'The Trump administration\xe2\x80\x99s proposed deep budget cuts to @StateDept and failure to fill key diplomatic posts threaten the country\xe2\x80\x99s security.',SenWhitehouse,129,67
935710114132131840,2017-11-29 03:20:50,"b""I'm the son, grandson and nephew of Foreign Service Officers. Burns and Crocker are two of the greatest ever. Here'\xe2\x80\xa6 https://t.co/bq3Jw0anUW""",SenWhitehouse,171,124
935702401805443072,2017-11-29 02:50:11,"b'.@USCCB says TrumpTax bill is ""fundamentally flawed"" and will ""raise income taxes on the working poor while simulta\xe2\x80\xa6 https://t.co/OC9vQPnCqF'",SenWhitehouse,172,121
935688298420428800,2017-11-29 01:54:09,"b'When our public universities are sounding the alarm on how terrible the TrumpTax plan will be for our students, we\xe2\x80\xa6 https://t.co/LEQfiRZNcB'",SenWhitehouse,537,254
935658126841450496,2017-11-28 23:54:15,"b'The TrumpTax bill is shameful on so many levels, but the parts attacking students are particularly awful. Why in th\xe2\x80\xa6 https://t.co/8rvGm9FAaw'",SenWhitehouse,706,367
935651141358104576,2017-11-28 23:26:30,"b'It\'s that time of week again--head to my FB page for my 187th ""Time to Wake Up"" speech. Climate change is a serious\xe2\x80\xa6 https://t.co/HkzM6Er6b3'",SenWhitehouse,209,50
935643971761602561,2017-11-28 22:58:00,"b'Here\xe2\x80\x99s a tale as old as time: handing out jobs to insiders, family and friends. Brett Talley even failed to disclos\xe2\x80\xa6 https://t.co/zziRDBKFhZ'",SenWhitehouse,173,124
935637347689025536,2017-11-28 22:31:41,"b""I've had the privilege of working alongside A.T. Wall on important criminal justice reforms. He\xe2\x80\x99s dedicated his car\xe2\x80\xa6 https://t.co/bpOhF1huRr""",SenWhitehouse,27,10
935617176136044544,2017-11-28 21:11:32,b'Why does @realDonaldTrump keep threatening government shutdowns? Not helpful; not smart; not good for the country. https://t.co/nXJcdrtNao',SenWhitehouse,394,136
935598235464454145,2017-11-28 19:56:16,"b'Thanks to Senator Pell\xe2\x80\x99s vision, millions of students across generations get help paying for college. In RI, Pell G\xe2\x80\xa6 https://t.co/sxXSIKc09C'",SenWhitehouse,75,18
