id,created_at,text,user,favorite_count,retweet_count
935560199141814272,2017-11-28 17:25:08,"b'RT @SpeakerRyan: We have important work to do. There is a meeting at the White House this afternoon, and if Democrats want to reach an agre\xe2\x80\xa6'",SenateMajLdr,0,208
935549598638268416,2017-11-28 16:43:00,b'I look forward to discussing with @POTUS this afternoon our shared goals as we continue collaborating to pass legis\xe2\x80\xa6 https://t.co/ezZMRFPRXq',SenateMajLdr,294,84
935531019167551490,2017-11-28 15:29:10,"b'This morning I will be joining the Chairman of the #SmallBusiness Cmte, @SenatorRisch, and Administrator of the\xe2\x80\xa6 https://t.co/xX6J0wv9Zi'",SenateMajLdr,66,35
935515315743678465,2017-11-28 14:26:46,"b""Here's what leading Economists have to say about the GOP #TaxReform bill\n\xe2\xac\x87\xef\xb8\x8f\n\xe2\x80\x9cReducing corporate tax rates, as propo\xe2\x80\xa6 https://t.co/BquubIhrZl""",SenateMajLdr,146,62
935281121033584640,2017-11-27 22:56:10,"b'Our #TaxReform plan doubles the child tax credit, preserves the adoption tax credit, and roughly doubles the standa\xe2\x80\xa6 https://t.co/CGbadnl4hM'",SenateMajLdr,310,119
935261737695277056,2017-11-27 21:39:09,"b""Here's the bottom line: we want to take more money out of Washington &amp; put more money into the pockets of the middl\xe2\x80\xa6 https://t.co/d9SBKLt6cR""",SenateMajLdr,374,130
935258130728054784,2017-11-27 21:24:49,"b""Today, the #Senate will consider 2 more @POTUS noms to the federal judiciary.\n1st, we'll vote to confirm Dabney Fri\xe2\x80\xa6 https://t.co/6SES1LSJAU""",SenateMajLdr,551,128
935255650623508480,2017-11-27 21:14:57,"b'This week, the #Senate will continue our years-long efforts toward #taxreform. Under the leadership of Chairman\xe2\x80\xa6 https://t.co/4AKlmI7EVK'",SenateMajLdr,226,57
935253426270810115,2017-11-27 21:06:07,"b'#TaxReform represents the single most important thing we can do right now to grow our #economy, help support good\xe2\x80\xa6 https://t.co/KFm20GP1zQ'",SenateMajLdr,204,92
933806891599142912,2017-11-23 21:18:06,"b'Wishing all a happy, healthy, and safe #Thanksgiving. https://t.co/GJo0VacRB9'",SenateMajLdr,205,26
933726845610074113,2017-11-23 16:00:02,"b'Wishing all a happy, healthy, and safe #Thanksgiving. https://t.co/xzOl7pmA4Z'",SenateMajLdr,313,55
931274862907322368,2017-11-16 21:36:44,b'Thank you Chairman @lisamurkowski &amp; @EnergyGOP for reporting legislation to secure our nation\xe2\x80\x99s #energy future. Thi\xe2\x80\xa6 https://t.co/qvfViXlykl',SenateMajLdr,119,34
931273962197315584,2017-11-16 21:33:09,"b'Kentuckians could see, \xe2\x80\x9cthe boost to after-tax incomes for middle-income families,\xe2\x80\x9d of nearly $2,000. #TaxReform https://t.co/KNeFIHKOAI'",SenateMajLdr,124,50
931256427859062786,2017-11-16 20:23:28,b'Repealing an unpopular tax from an unworkable law to give middle class families more #TaxRelief just makes sense. E\xe2\x80\xa6 https://t.co/eHUaJoD0Oz',SenateMajLdr,437,114
931256369319161856,2017-11-16 20:23:15,b'There\xe2\x80\x99s another important provision of the @GOPSenFinance #TaxReform. It repeals #Obamacare\xe2\x80\x99s individual mandate ta\xe2\x80\xa6 https://t.co/tBjGH3uBZP',SenateMajLdr,158,57
931247745213575168,2017-11-16 19:48:58,"b""The #Senate has passed the #NDAA, and it's on its way for @POTUS' signature. Thank you @SenJohnMcCain for your hard\xe2\x80\xa6 https://t.co/LWq1rXCGGP""",SenateMajLdr,1031,191
931234817324265472,2017-11-16 18:57:36,"b'With House passage of the Tax Cuts and Jobs Act, we are one big step closer to putting more money in the pockets of\xe2\x80\xa6 https://t.co/gk6OOpSvPo'",SenateMajLdr,319,93
931219623726452736,2017-11-16 17:57:14,"b""Today the #Senate will continue to fulfill its important responsibility of providing advice and consent on @POTUS'\xe2\x80\xa6 https://t.co/IJCEY5sZEI""",SenateMajLdr,121,30
931206078104244226,2017-11-16 17:03:24,b'.@GOPSenFinance Committee Chairman @senorrinhatch has laid down a #TaxReform proposal that is premised on a simple\xe2\x80\xa6 https://t.co/0UAcxQsWYT',SenateMajLdr,111,34
931197882258030592,2017-11-16 16:30:50,b'Our tax code is broken.\n\n1: rates are too high &amp; Americans are sending too much of their hard-earned money to Uncle\xe2\x80\xa6 https://t.co/9LeXhqNxWd',SenateMajLdr,375,110
931192709049716737,2017-11-16 16:10:17,b'Does anyone know what caused Democrats to suddenly change their mind on #TaxReform? https://t.co/uJKugOYaNG',SenateMajLdr,130,65
931186577367273477,2017-11-16 15:45:55,b'RT @GOPSenFinance: UPDATED TIME: The Finance Committee will continue its markup of the Tax Cuts and Jobs Act at 11 a.m. ET. https://t.co/mh\xe2\x80\xa6',SenateMajLdr,0,18
931170026324987904,2017-11-16 14:40:09,b'Passing #TaxReform is the single most important thing we can do right now to support those left behind by the Obama\xe2\x80\xa6 https://t.co/mpw9DKWFZH',SenateMajLdr,249,66
930902128826175488,2017-11-15 20:55:37,"b'Thank you to the Speaker of the Iraqi parliament, Dr. Saleem Al-Jubouri, for stopping by today. https://t.co/OY3X7DXl3P'",SenateMajLdr,68,13
930883492744978433,2017-11-15 19:41:34,b'#SmallBusiness and hardworking Americans deserve a tax code that works for them. They deserve relief. That\xe2\x80\x99s why th\xe2\x80\xa6 https://t.co/qBye2Gu6ds',SenateMajLdr,242,59
930871949575835650,2017-11-15 18:55:42,"b'The #Senate #TaxReform bill ""would boost the #economy\xe2\x80\x99 and lead to \xe2\x80\x98Higher wages and\xe2\x80\xa6an additional 925,000 full-tim\xe2\x80\xa6 https://t.co/iTCvXiaMbF'",SenateMajLdr,132,47
930856536875962368,2017-11-15 17:54:27,"b'Since Chairman\xc2\xa0@senorrinhatch\xc2\xa0has been the top Republican on the\xc2\xa0@GOPSenFinance\xc2\xa0Committee, it has hosted 70 hearing\xe2\x80\xa6 https://t.co/3i1kO7H0hm'",SenateMajLdr,88,42
930847615536783362,2017-11-15 17:19:00,b'Alex Azar &amp; I had a productive meeting and discussed his outlook and vision for @HHSGov. I also asked him to make c\xe2\x80\xa6 https://t.co/B77X60Pmkp',SenateMajLdr,53,28
