id,created_at,text,user,favorite_count,retweet_count
935710869329186816,2017-11-29 03:23:50,b'Here is a chart for Senator Cruz. We need tax reform that invests in the middle class and grows our economy from th\xe2\x80\xa6 https://t.co/SyP1kIjRrc',SenatorCantwell,195,151
935709404544028673,2017-11-29 03:18:01,"b'Let\xe2\x80\x99s not be afraid of this transition to a modern economy for the middle class, let\xe2\x80\x99s prepare by training our work\xe2\x80\xa6 https://t.co/gcWnIimimJ'",SenatorCantwell,48,15
935709349636464641,2017-11-29 03:17:48,"b'Thanks for your service and your question, Victor from Snohomish. I have faith in you and I have faith in us. #CNNTaxDebate #GOPTaxBill'",SenatorCantwell,35,5
935706151051825152,2017-11-29 03:05:05,b'The #GOPtaxplan will raise health care costs on middle-income Americans. The nonpartisan @USCBO says that this poli\xe2\x80\xa6 https://t.co/IIzl1D84n7',SenatorCantwell,53,50
935702933961928707,2017-11-29 02:52:18,"b'The #GOPtaxplan gives more than a trillion dollar tax break to Wall Street, but leaves Main Street behind. We need\xe2\x80\xa6 https://t.co/Y7zRbaFoqx'",SenatorCantwell,122,65
935701501862993921,2017-11-29 02:46:37,"b""You'd think we can sell this president on more #Apprentices in America  #CNNDebateNight #GOPTaxBill""",SenatorCantwell,31,10
935701126271459328,2017-11-29 02:45:07,"b'We need to invest in education, job training, working toward the future, not corporate tax breaks. I want to work w\xe2\x80\xa6 https://t.co/ghstDE4AIP'",SenatorCantwell,77,36
935700696405626880,2017-11-29 02:43:25,"b'We need to be investing in the middle class, not giving more handouts to corporations  #TaxDebate'",SenatorCantwell,1500,466
935699957079789568,2017-11-29 02:40:28,"b""Couldn't agree more with Mr. Mendels: corporate tax breaks don't lead to higher middle-class wages #CNNDebateNight #GOPTaxBill""",SenatorCantwell,71,39
935698734951919617,2017-11-29 02:35:37,"b'Joe Fugere, a small business owner and the founder of @MyTuttaBella is joining me as a guest at tonight\xe2\x80\x99s\xe2\x80\xa6 https://t.co/ZPFQOxSvSZ'",SenatorCantwell,53,17
935697696068907008,2017-11-29 02:31:29,"b'Sen Scott is wrong on SALT: 86% of those who take the deduction earn under $200,000 according to the IRS #CNNDebateNight #GOPTaxBill'",SenatorCantwell,86,47
935696481000067073,2017-11-29 02:26:40,b'The GOP is trying to pass this bill in the dark of night. They need to slow down and understand what it means. #GOPTaxBill #CNNDebateNight',SenatorCantwell,186,106
935695198658625536,2017-11-29 02:21:34,"b'FACT: If state and local deductions are repealed, almost 30% of taxpayers, including individuals in very state and\xe2\x80\xa6 https://t.co/9FOFHVRZ7m'",SenatorCantwell,845,449
935692191158108160,2017-11-29 02:09:37,"b'RT @SenSanders: According to the Tax Policy Center, 87 million middle class households would see their taxes go up by the end of the decade\xe2\x80\xa6'",SenatorCantwell,0,822
935692143590625280,2017-11-29 02:09:26,b'From my opening statement: @CNN #taxdebate: We are a great society in the USA but we shouldn\xe2\x80\x99t be a 1% society. We\xe2\x80\xa6 https://t.co/xLrtfPypMO',SenatorCantwell,200,80
935688513881759744,2017-11-29 01:55:00,"b'The #GOPTaxBill will have real, negative consequences for great community businesses like Seattle\xe2\x80\x99s @mytuttabella a\xe2\x80\xa6 https://t.co/EfBcUSHra1'",SenatorCantwell,54,29
935687254856445952,2017-11-29 01:50:00,b'Michael Orbino is in the audience at @CNN #taxdebate tonight. Michael is a real estate broker in Puget Sound and he\xe2\x80\xa6 https://t.co/tEMbkLyfj8',SenatorCantwell,101,49
935667546212261889,2017-11-29 00:31:41,"b""At 6pm PT, I will be joining Senator Bernie Sanders on @CNN to debate Senators Cruz and Scott on the GOP's dark-of-\xe2\x80\xa6 https://t.co/Gt8M0pemru""",SenatorCantwell,216,86
935639902556999680,2017-11-28 22:41:50,b'Congrats to the Port of @Pasco_WA for being chosen as the as 2017 Port of the Year by @WAPorts! Was proud to be wit\xe2\x80\xa6 https://t.co/Ff2s6jxxuz',SenatorCantwell,13,9
935600937325826049,2017-11-28 20:07:00,b'I will do everything I can to block drilling in one of the most intact ecosystems we have on the planet. Retweet to\xe2\x80\xa6 https://t.co/aZwB0AV7bh',SenatorCantwell,1474,1091
935569732895494144,2017-11-28 18:03:01,b'The nonpartisan Congressional Budget Office confirms the GOP tax plan will raise taxes on low- and middle-class Ame\xe2\x80\xa6 https://t.co/H674uXghDX',SenatorCantwell,64,70
935560671831449600,2017-11-28 17:27:00,b'Gouging middle class families to pay for corporate tax breaks is just wrong. We need tax reform that invests in the\xe2\x80\xa6 https://t.co/HlEQ8co3HA',SenatorCantwell,156,73
935550104953425920,2017-11-28 16:45:01,"b'In repealing #NetNeutrality rules, the @FCC is creating a two-tiered Internet, allowing corporations to pay for spe\xe2\x80\xa6 https://t.co/dfdt6WTsy5'",SenatorCantwell,123,104
935375198634815488,2017-11-28 05:10:00,b'RT to stand with me on one of the most important economic issues before us -- the need to preserve an #openinternet\xe2\x80\xa6 https://t.co/vMs5e4HL4Q',SenatorCantwell,694,793
935330152736743424,2017-11-28 02:11:00,b'@SeaTimesOpinion: \xe2\x80\x9cGutting #NetNuetrality rules is a giant step backward\xe2\x80\x9d #OpenInternet https://t.co/RnxdULoRHL',SenatorCantwell,3,2
935299452964917249,2017-11-28 00:09:01,b'The nonpartisan Congressional Budget Office shows what we\xe2\x80\x99ve known all along \xe2\x80\x93 the #GOPTaxBill would significantly\xe2\x80\xa6 https://t.co/VOryph8u03',SenatorCantwell,182,139
935269000384253952,2017-11-27 22:08:00,"b'According to the nonpartisan Congressional Budget Office, low income families would be worse off under the\xe2\x80\xa6 https://t.co/dLjkf9YEwp'",SenatorCantwell,44,56
935238046508834816,2017-11-27 20:05:00,"b'Hiking park fees by nearly 200% would shut out many families from our most treasured places, hurting #smallbiz like\xe2\x80\xa6 https://t.co/WTA0cVOTJj'",SenatorCantwell,86,54
935233181745319938,2017-11-27 19:45:40,"b'I could not agree more @thenewstribune, \xe2\x80\x9cHiking #NationalParks good; hiking entry fees bad\xe2\x80\x9d #HikeTrailsNotFees https://t.co/YnqyZnDK1j'",SenatorCantwell,60,33
935180981467742208,2017-11-27 16:18:15,b'RT @MClyburnFCC: Listening to the real stories of actual #consumers #smallbiz &amp; local gov leaders is what being a public servant is all abo\xe2\x80\xa6',SenatorCantwell,0,40
934893525660868608,2017-11-26 21:16:00,b'It\xe2\x80\x99s critical we provide tools &amp; training to help Native Americans thrive &amp; strengthen the communities around them.\xe2\x80\xa6 https://t.co/LO8XOwRCpD',SenatorCantwell,189,53
934637338231234560,2017-11-26 04:18:00,b'#NationalParks are #publiclands \xe2\x80\x93 &amp; they should be affordable for everyone #HikeTrailsNotFees\nhttps://t.co/v7U7fxGGyc',SenatorCantwell,293,132
934621986696790018,2017-11-26 03:17:00,b'We\xe2\x80\x99re so blessed to live in the #PNW &amp; be able to enjoy places so special &amp; unique. Hiking the fees at our\xe2\x80\xa6 https://t.co/yMpAMJU7Yu',SenatorCantwell,274,70
934606132756303877,2017-11-26 02:14:00,b'The #GOPTaxPlan that just passed out of the Senate Finance Committee had a new deduction for #BigOil\xe2\x80\x94a $4 billion t\xe2\x80\xa6 https://t.co/WnfTsU3FLq',SenatorCantwell,559,730
934576436005838848,2017-11-26 00:16:00,b'There is a real disparity in what\xe2\x80\x99s being touted as tax breaks in the #GOPTaxBill &amp; what will be the reality for mi\xe2\x80\xa6 https://t.co/tGsjApCoPJ',SenatorCantwell,283,115
934545984834568192,2017-11-25 22:15:00,"b'If we really want to focus on the middle-class \xe2\x80\x93 helping them &amp; helping our economy grow, we need to make an invest\xe2\x80\xa6 https://t.co/BbxF2f2oAE'",SenatorCantwell,104,34
