id,created_at,text,user,favorite_count,retweet_count
935576477982183431,2017-11-28 18:29:49,"b'10,000 Dreamers have already lost their DACA status. Retweet if you agree: Congress must pass the #DreamActNow.'",SenatorDurbin,58,62
935551007798505472,2017-11-28 16:48:36,"b'This holiday season, Dreamers deserve the peace of mind that they won\xe2\x80\x99t be ripped away from the country they love.\xe2\x80\xa6 https://t.co/rdRp6fQXgm'",SenatorDurbin,284,106
935300177451278336,2017-11-28 00:11:53,"b'According to the nonpartisan @USCBO, the tens of millions of Americans making $75,000 or less will be worse off bec\xe2\x80\xa6 https://t.co/65xqc56byA'",SenatorDurbin,767,476
935274602942685184,2017-11-27 22:30:16,b'Met with #Dreamers from @Hunter_College this morning. These young people only want to contribute to the country the\xe2\x80\xa6 https://t.co/p2iMEgtYhR',SenatorDurbin,172,60
935251459477790720,2017-11-27 20:58:18,"b'This week, Republicans are desperately trying to ram through massive tax cuts for the wealthy \xe2\x80\x94 by leaving working\xe2\x80\xa6 https://t.co/sRXvk9EUH9'",SenatorDurbin,702,280
935225980448362498,2017-11-27 19:17:04,b'Remember the @CFPB was the agency that fined @WellsFargo $100 million for defrauding its own customers creating pho\xe2\x80\xa6 https://t.co/uykM3yT34R',SenatorDurbin,736,419
935186670424612864,2017-11-27 16:40:51,"b'MORNING READ: After 15 years of Republican filibusters, the Senate now has a huge opportunity to finally pass the b\xe2\x80\xa6 https://t.co/nsC7HxHZRW'",SenatorDurbin,333,133
934932730948870144,2017-11-26 23:51:47,b'Sen. Graham and I agree Congress must pass our bipartisan #DreamAct this year. #DreamActNow https://t.co/h6GPHWgST0',SenatorDurbin,794,297
934849183298785280,2017-11-26 18:19:48,"b""@SenateGOP Break's over. @SenateDems will fight tooth and nail to beat back partisan, secret schemes that raise cos\xe2\x80\xa6 https://t.co/prnyH2c5eP""",SenatorDurbin,246,99
934848987601035264,2017-11-26 18:19:01,"b'13 million Americans will lose their health care and health insurance premiums will skyrocket...because of the @SenateGOP ""tax"" plan.'",SenatorDurbin,393,266
934848747632300034,2017-11-26 18:18:04,b'Reminder: Senate Republicans will try to ram through their billionaires first tax scam this coming week. Get ready to fight.',SenatorDurbin,4087,2439
934514571716579330,2017-11-25 20:10:10,b'Less than 20 days left to sign up for 2018 health insurance.\n\nGrab some turkey leftovers and #GetCovered today: https://t.co/mVMEjKLwo7',SenatorDurbin,224,189
934494769060990976,2017-11-25 18:51:29,b'RT @CNNSotu: EXCLUSIVE: @SenatorDurbin and @LindseyGrahamSC join #CNNSOTU this Sunday for a live interview. https://t.co/VQ2Erk44xl',SenatorDurbin,0,36
933768190143983621,2017-11-23 18:44:19,"b'From my family to yours, have a safe and happy Thanksgiving. https://t.co/C3uOKNSQ1l'",SenatorDurbin,322,43
933412464754032645,2017-11-22 19:10:48,b'RT @UNFPA_DC: Thank you @SenatorDurbin for visiting a @UNFPA-supported clinic in #Bangladesh serving #Rohingya refugees who have endured un\xe2\x80\xa6',SenatorDurbin,0,19
933366329113042949,2017-11-22 16:07:28,b'RT @TheEllenShow: You may say I\xe2\x80\x99m a dreamer. But I\xe2\x80\x99m not the only one. #DreamAct https://t.co/bSIjyrotFr https://t.co/cSewadTfAD',SenatorDurbin,0,4938
933102839257288704,2017-11-21 22:40:27,"b'27,000 Americans have parents who are TPS recipients from Haiti. The Trump Admin is forcing parents to choose betwe\xe2\x80\xa6 https://t.co/GWl6shyl5O'",SenatorDurbin,703,330
933041921559277570,2017-11-21 18:38:23,b'It\xe2\x80\x99s dangerous and irresponsible to force local police departments to choose between redirecting scarce policing re\xe2\x80\xa6 https://t.co/5eKnuPZh4D',SenatorDurbin,161,50
933041693032665090,2017-11-21 18:37:29,b'This decision is good news for the rule of law in America. Attorney General Sessions cannot hold hostage the federa\xe2\x80\xa6 https://t.co/5ZUTo0iYJc',SenatorDurbin,308,102
933003736389226496,2017-11-21 16:06:39,"b'This will tear families apart, damage our economy, and harm U.S. national security interests. I call on the Trump A\xe2\x80\xa6 https://t.co/Ff98r2JoeG'",SenatorDurbin,641,308
932735098423857152,2017-11-20 22:19:11,"b""Since President Trump won't do his job, we will.\n\nSpread the word: Less than 1 month left to sign up for your 2018\xe2\x80\xa6 https://t.co/zTKc48sgrI""",SenatorDurbin,1610,1487
932713494906134531,2017-11-20 20:53:20,"b'We will not stand by and allow the Burmese military to continue their human rights abuses against innocent men, women and children.'",SenatorDurbin,104,20
932713423896489984,2017-11-20 20:53:03,"b'I urge Aung San Suu Kyi to do more for her fellow countrymen and women in a desperate situation. Sadly, she has done too little.'",SenatorDurbin,83,24
932713320267870208,2017-11-20 20:52:39,b'I\xe2\x80\x99ve introduced bipartisan legislation to impose targeted sanctions &amp; travel restrictions on senior Burmese militar\xe2\x80\xa6 https://t.co/HSJ7kVp0vy',SenatorDurbin,51,17
932713090961068033,2017-11-20 20:51:44,b'The United States will not tolerate the systematic campaign of violence and discrimination against the Rohingya peo\xe2\x80\xa6 https://t.co/CT2xJaoZK1',SenatorDurbin,246,79
932671746183979008,2017-11-20 18:07:27,"b'Force $25 billion in automatic Medicare cuts, raise health care premiums, and leave 13 million without health insur\xe2\x80\xa6 https://t.co/YvmWZho7jC'",SenatorDurbin,796,628
932656368586248192,2017-11-20 17:06:20,b'FBI &amp; Homeland Security found \xe2\x80\x98white supremacist extremism poses persistent threat of lethal violence\xe2\x80\x99 - responsibl\xe2\x80\xa6 https://t.co/E1dmDRdjwl',SenatorDurbin,177,90
932655902636871680,2017-11-20 17:04:29,b'My Domestic Terrorism Prevention Act would require the federal government to focus on the threat of violent white s\xe2\x80\xa6 https://t.co/s3lOO4l7Va',SenatorDurbin,638,269
932269716999168000,2017-11-19 15:29:55,"b""I'll save you a click. It's easy for dangerous people to get guns in America. https://t.co/Bqat9Tk63F""",SenatorDurbin,1375,429
931930854909235200,2017-11-18 17:03:24,"b""It's sad how much this doesn't surprise me. Shameless https://t.co/yl384OoFjt""",SenatorDurbin,2229,990
931906678785789953,2017-11-18 15:27:20,b'RT @SuzanneAkhras: .@SenatorDurbin visiting #Rohingya #Refugees in #Bangladesh to learn more about the #RohingyaCrisis and he visited with\xe2\x80\xa6',SenatorDurbin,0,51
931665916517109760,2017-11-17 23:30:38,"b""Russia launched a cyber war against our election. They attacked our democracy. We need to be honest about what's at\xe2\x80\xa6 https://t.co/MR74Lcjr3g""",SenatorDurbin,3843,1899
931649166316589056,2017-11-17 22:24:05,b'Less than a month left to sign up for your 2018 individual market health insurance \xe2\x80\x93 plans may be more affordable t\xe2\x80\xa6 https://t.co/E8DsYHUrMz',SenatorDurbin,155,175
931628074491367425,2017-11-17 21:00:16,b'I\xe2\x80\x99ve introduced legislation to ensure the FBI focuses on the real domestic terrorism threat \xe2\x80\x93 violent white suprema\xe2\x80\xa6 https://t.co/BdsxOP3p9A',SenatorDurbin,970,352
931610055186804736,2017-11-17 19:48:40,b'@POTUS I am not opposed to a more flexible standard. But it shouldn\xe2\x80\x99t be a double standard for Democratic vs. Republican nominees.',SenatorDurbin,148,56
931609975243333637,2017-11-17 19:48:21,b'@POTUS Senate Republicans blocked Obama nominees who had used marijuana after passing the bar. Now they want a more\xe2\x80\xa6 https://t.co/0ee1e9YI1l',SenatorDurbin,124,90
931609857819635712,2017-11-17 19:47:53,b'@POTUS That\xe2\x80\x99s not all. Yesterday I said Senate Republicans should be honest and transparent about their effort to c\xe2\x80\xa6 https://t.co/xdjRzKa9ua',SenatorDurbin,42,26
