id,created_at,text,user,favorite_count,retweet_count
935672510749790209,2017-11-29 00:51:25,b'#GOPTaxScam will help corporations &amp; the ultra wealthy &amp; leave working Americans out to dry. It repeals the state a\xe2\x80\xa6 https://t.co/atJQuAwtZL',SenatorTomUdall,112,91
935662433473089537,2017-11-29 00:11:22,b'The #GOPTaxScam treats corporations better than people. Corporations receive the only permanent tax cut while 1 in\xe2\x80\xa6 https://t.co/5GC8m1zU7K',SenatorTomUdall,122,68
935544561748926464,2017-11-28 16:22:59,"b'""The only way anything ever changes in Washington is when people stand up &amp; demand it. So speak out, post on social\xe2\x80\xa6 https://t.co/mFbI4Gp90w'",SenatorTomUdall,26,15
935544410099601408,2017-11-28 16:22:23,"b'\xe2\x80\x9cWhen Dourson delivers for his industry clients, it is the public who pays, through weakened health protections. Th\xe2\x80\xa6 https://t.co/BfD2jGoblx'",SenatorTomUdall,18,12
935544104775307264,2017-11-28 16:21:10,"b'""Dourson\'s record suggests that when there is doubt, he does not err on the side of caution in questions of human s\xe2\x80\xa6 https://t.co/qMawkfFOFb'",SenatorTomUdall,7,14
935543952496910336,2017-11-28 16:20:34,"b'""This nomination is no longer an issue of political affiliations but a concern for the health of the American peopl\xe2\x80\xa6 https://t.co/nGf0cfyYXa'",SenatorTomUdall,13,8
935543806853820418,2017-11-28 16:19:59,"b'""Dourson\xe2\x80\x99s past work is bad enough, but to put such a man in charge of chemical safety would be dangerous to people\xe2\x80\xa6 https://t.co/3rsxWnRLPx'",SenatorTomUdall,7,6
935543529421631488,2017-11-28 16:18:53,"b'""Dourson isn\xe2\x80\x99t just your run of the mill chemical company apologist. He built a career helping companies...weaken &amp;\xe2\x80\xa6 https://t.co/ZUM9O5b4Vk'",SenatorTomUdall,33,35
935543340094967809,2017-11-28 16:18:08,"b'""Dourson has already taken up residence at the EPA, appointed without confirmation to a special adviser position. I\xe2\x80\xa6 https://t.co/nskI0WpaE4'",SenatorTomUdall,31,37
935543201477296128,2017-11-28 16:17:35,"b'\xe2\x80\x9cWhen it comes to chemicals such as these, we need vigilant oversight and continued focus on regulations. The goal\xe2\x80\xa6 https://t.co/WpuRSQsl3j'",SenatorTomUdall,5,12
935542894110404609,2017-11-28 16:16:22,"b'""This isn\xe2\x80\x99t about political ideology or whether you support or don\xe2\x80\x99t support President Trump. This is about nothing\xe2\x80\xa6 https://t.co/7rGH4qE9Li'",SenatorTomUdall,18,16
935542594284683264,2017-11-28 16:15:10,"b'""At a time when the EPA has newfound and much-needed authority to test chemicals under the nation\xe2\x80\x99s updated toxics\xe2\x80\xa6 https://t.co/b3xXiOPHgi'",SenatorTomUdall,14,15
935542272963293184,2017-11-28 16:13:54,"b'""Putting Michael Dourson in charge of implementing this new law for the EPA would be like putting an arsonist in ch\xe2\x80\xa6 https://t.co/aYBflkOmKB'",SenatorTomUdall,20,22
935541753985236994,2017-11-28 16:11:50,"b'""Last month I returned to Washington to wage my next fight against cancer, urging my senators to remember that canc\xe2\x80\xa6 https://t.co/HR9CX7V8LS'",SenatorTomUdall,16,10
935541103679430656,2017-11-28 16:09:15,"b'""We recently went to Washington to ask our senators \'What if it was your child? How hard would you fight &amp; what len\xe2\x80\xa6 https://t.co/DuqKILLLqy'",SenatorTomUdall,17,13
935540947928088577,2017-11-28 16:08:38,"b'\xe2\x80\x9cDourson is a terrible and, we think, dangerous choice. A toxicologist by training, he has spent years as a consult\xe2\x80\xa6 https://t.co/UFftWHTYLx'",SenatorTomUdall,16,15
935540781766541317,2017-11-28 16:07:58,"b'""The notion of putting Dourson in charge of our chemical safety program is nothing less than absurd...families dese\xe2\x80\xa6 https://t.co/MUEmJaFIpG'",SenatorTomUdall,15,12
935540581866070017,2017-11-28 16:07:10,b'\xe2\x80\x9cDourson has built a career of abusing science to mischaracterize real-world chemical risks and in doing so has jeo\xe2\x80\xa6 https://t.co/tKtGeUghlU',SenatorTomUdall,17,13
935540219272626179,2017-11-28 16:05:44,"b'""[Dourson] has been paid by chemical companies to produce favorable studies and reports. Now he\xe2\x80\x99s in line to superv\xe2\x80\xa6 https://t.co/O3kTFykSNO'",SenatorTomUdall,25,24
935539910320287744,2017-11-28 16:04:30,b'Concerned citizens from #Indiana to #WestVirginia to #Tennessee to #Maine to #NorthCarolina are urging the Senate t\xe2\x80\xa6 https://t.co/dS2WJk1mWv',SenatorTomUdall,130,112
935292413354151936,2017-11-27 23:41:02,"b'We worked hard to protect #NetNeutrality because the internet should be free, fair, &amp; open to everyone - not subjec\xe2\x80\xa6 https://t.co/c6TDhrJ24D'",SenatorTomUdall,452,287
935286830651539456,2017-11-27 23:18:51,"b'3) The bill creates new loopholes for the mega-wealthy and tax dodgers, encourages multinational corporations to sh\xe2\x80\xa6 https://t.co/nteAFKDEqh'",SenatorTomUdall,45,46
935286647322750977,2017-11-27 23:18:08,b'2) The GOP is using the tax plan as another opportunity to undermine the ACA. Their ACA repeal-without-replace prov\xe2\x80\xa6 https://t.co/6LTADQHAtK',SenatorTomUdall,44,34
935286521468538881,2017-11-27 23:17:38,"b""1) The GOP plan will hurt NM's working families while lining the pockets of the ultra wealthy. And according to the\xe2\x80\xa6 https://t.co/0IixOcrqxu""",SenatorTomUdall,26,23
935286409002446850,2017-11-27 23:17:11,b'RED ALERT: Senate Republicans are trying to pass their #TaxBill THIS WEEK. Here are just a few reasons we need to f\xe2\x80\xa6 https://t.co/PWDuvXvoo0',SenatorTomUdall,128,82
935276727546368005,2017-11-27 22:38:43,b'This moment in history won\xe2\x80\x99t overshadow the contribution the Code Talkers made and continue to make to our nation.\xe2\x80\xa6 https://t.co/AzYXMEOGAu',SenatorTomUdall,556,243
935225379362672640,2017-11-27 19:14:40,b'.@CFPB has already fought for and won $12 billion in relief for 29 million cheated Americans. New Mexicans and all\xe2\x80\xa6 https://t.co/Hxoq4XSwcJ',SenatorTomUdall,140,65
934509829825159168,2017-11-25 19:51:20,b'@cacaosantafe Supporting #MainStreet helps build an economy that works for every corner of #NewMexico. When you\xe2\x80\xa6 https://t.co/PtOTCRYy8W',SenatorTomUdall,22,10
934509019271745541,2017-11-25 19:48:07,"b'In NM, supporting the arts also supports the growth of new small businesses (&amp; jobs) like @cacaosantafe, a coffee &amp;\xe2\x80\xa6 https://t.co/47m7m68VHx'",SenatorTomUdall,85,26
934438044316393474,2017-11-25 15:06:05,"b""Today, on #SmallBusinessSaturday, I plan to #ShopSmall. I hope you'll join me in supporting #NM small businesses an\xe2\x80\xa6 https://t.co/CyiQYqbabn""",SenatorTomUdall,114,36
934161847216898048,2017-11-24 20:48:34,b'Today we had a great time kicking off the @SalvationArmyUs #RedKettle Campaign in #NM to help provide resources to\xe2\x80\xa6 https://t.co/hRl84y21s3',SenatorTomUdall,35,16
933756785848209408,2017-11-23 17:59:00,b'Jill and I wish you all a happy &amp; safe Thanksgiving! Join me in giving thanks today for our service members and the\xe2\x80\xa6 https://t.co/GpUlk6whQM',SenatorTomUdall,93,15
933451815563288576,2017-11-22 21:47:10,b'Zimbabwe is at a turning point and the international community is watching with hope that this transfer of power wi\xe2\x80\xa6 https://t.co/onLWfRnbDn',SenatorTomUdall,39,11
