id,created_at,text,user,favorite_count,retweet_count
935651874732158977,2017-11-28 23:29:25,"b""North Korea is clear\xe2\x80\x94they won't stop their behavior towards the US &amp; our allies until they've achieved a missile ca\xe2\x80\xa6 https://t.co/eTC4L90Dbb""",JimInhofe,9,6
934798915370590209,2017-11-26 15:00:03,b'November is #NationalAdoptionMonth. My family experienced the joys of adoption firsthand after my granddaughter Mar\xe2\x80\xa6 https://t.co/7cslSXXz8l',JimInhofe,38,8
934436525382742018,2017-11-25 15:00:03,"b'As a member of the @SmallBizCmte and business owner for over 20 years, I know how important #Smallbiz is to the Ame\xe2\x80\xa6 https://t.co/duXKOBDw9Y'",JimInhofe,30,9
933711738696011776,2017-11-23 15:00:00,"b'We have a lot to be thankful for. From my family to yours, Happy Thanksgiving. https://t.co/ljjmPKLanH'",JimInhofe,27,5
933341045273907200,2017-11-22 14:27:00,b'Praying for all of the sailors and their families. We must do more to stop this dangerous trend of military inciden\xe2\x80\xa6 https://t.co/55oSEFgA15',JimInhofe,32,9
933015615673176064,2017-11-21 16:53:52,"b'Thankful I was invited to join community and business leaders yesterday in Poteau. We discussed an array of topics,\xe2\x80\xa6 https://t.co/DJ7Q1u4kYw'",JimInhofe,12,4
932688466449764354,2017-11-20 19:13:53,"b'By imposing the most substantial sanctions against the North Korean regime to date, @POTUS has shown his actions to\xe2\x80\xa6 https://t.co/O3g6sy7ECC'",JimInhofe,24,8
932643473165111296,2017-11-20 16:15:06,b'We need more of this in the news. Grateful to @realDonaldTrump for taking the time to pray with @OU_Softball. https://t.co/xA1X9ZVmRv',JimInhofe,55,22
931609793382506496,2017-11-17 19:47:37,b'Glad some well deserving Okies had the opportunity to visit D.C. today. Congratulations on your achievements. Very\xe2\x80\xa6 https://t.co/ruunqjAr86',JimInhofe,19,3
931573911678054402,2017-11-17 17:25:03,"b'After years of planning and construction, the @museumofBible opens today.The Bible\xe2\x80\x99s role in the founding of Americ\xe2\x80\xa6 https://t.co/x946W1gCNE'",JimInhofe,36,11
931287967389204480,2017-11-16 22:28:48,"b""Today, I sent a letter to @POTUS encouraging increased US gov't support for Ukraine against Russian aggression, spe\xe2\x80\xa6 https://t.co/Hza65vnjzO""",JimInhofe,87,62
931270736001556480,2017-11-16 21:20:20,"b'NDAA passed the Senate with provisions supporting the military in Oklahoma: a pay increase for troops, a prohibitio\xe2\x80\xa6 https://t.co/QgJx2zkJEE'",JimInhofe,18,11
931235645686779904,2017-11-16 19:00:54,"b'Happy Statehood Day, Oklahoma. Proud to be from and represent the greatest state in the union. https://t.co/Po8w0nYhfo'",JimInhofe,35,15
931200068581019649,2017-11-16 16:39:31,b'The Oklahoma National Guard is playing a critical role in Ukraine by ensuring the Ukrainians are equipped to deter\xe2\x80\xa6 https://t.co/ojTimjiX0a',JimInhofe,15,7
930924525772050432,2017-11-15 22:24:37,b'I\xe2\x80\x99m encouraged by the reports of a peaceful action by the Zimbabwean military to reject the brutal and restrictive\xe2\x80\xa6 https://t.co/t5rG54McA5',JimInhofe,8,1
930921746638757888,2017-11-15 22:13:34,b'RT @SBGC2C: .@JimInhofe on Senate #TaxReform bill: \xe2\x80\x9cGetting rid of the individual mandate is closer to repealing Obamacare than anything el\xe2\x80\xa6',JimInhofe,0,6
930895551062839296,2017-11-15 20:29:29,"b'I applaud the Senate confirmation of my friend, Mark Esper, to be Secretary of the Army, and look forward to workin\xe2\x80\xa6 https://t.co/OiY0LPPWvW'",JimInhofe,11,5
930873033300041729,2017-11-15 19:00:00,b'Thanks for stopping by the office. It was a pleasure to chat with this great group of students. https://t.co/QH4ZDOtGwB',JimInhofe,5,2
930857348708601856,2017-11-15 17:57:41,"b'Good things are happening right now; look at the economy. In the 2nd and 3rd quarter of this year, we have increase\xe2\x80\xa6 https://t.co/JW6OPq9IUh'",JimInhofe,32,6
